YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,SP_CODE,COUNT,SIZE,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/14/2018,LEAD,2,OFF 40,PTCA,2,2,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,2,OFF 20,PTCA,2,2,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 20,CYOS,1,.,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 40,CYOS,13,.,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 40,CYOS,25,.,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 20,CYOS,7,.,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 20,EGME,1,2,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 40,EGME,1,1,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 20,KEKE,8,10,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 40,KEKE,3,10,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 40,KEKE,2,10,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 20,KEKE,13,8,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 20,LAFA,6,50,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 40,LAFA,7,100,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 40,LAFA,2,90,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 20,LAFA,7,60,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 40,PAIN,2,7.25,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 20,PAIN,2,6.1,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 40,PGL,1,14,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 20,PTCA,16,3,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,IN 40,PTCA,10,3,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 40,PTCA,3,3,1930,,RZ,TW/IG
2018,9,9/14/2018,LEAD,3,OFF 20,PTCA,9,4,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,IN 20,CYOS,4,.,1930,low,RZ,TW/IG
2018,9,9/12/2018,MESA,1,IN 40,CYOS,6,.,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,OFF 40,CYOS,10,.,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,OFF 20,CYOS,4,.,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,IN 20,EGME,6,7,1930,hard ,RZ,TW/IG
2018,9,9/12/2018,MESA,1,IN 40,EGME,16,3,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,OFF 40,EGME,20,3,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,OFF 20,EGME,26,2,1930,,RZ,TW/IG
2018,9,9/12/2018,MESA,1,OFF 20,PAIN,2,7.6,1930,,RZ,TW/IG
2018,9,9/13/2018,MESA,2,IN 20,CYOS,20,.,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 40,CYOS,10,1,1930,,RZ,
2018,9,9/13/2018,MESA,2,OFF 40,CYOS,12,.,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 20,EGME,21,4,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 40,EGME,52,3,1930,,RZ,
2018,9,9/13/2018,MESA,2,OFF 40,EGME,37, .,1930,,RZ,
2018,9,9/13/2018,MESA,2,OFF 20,EGME,13,3,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 40,MECR,1,11,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 20,OCTO,1,11,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 20,PTCA,1,1,1930,,RZ,
2018,9,9/13/2018,MESA,2,IN 40,PTCA,4,5,1930,,RZ,
2018,9,9/13/2018,MESA,2,OFF 40,PTCA,1,2,1930,,RZ,
2018,9,9/13/2018,MESA,2,OFF 20,PTCA,1,1,1930,,RZ,
2018,9,9/14/2018,MESA,3,IN 40,CRGI,1,4.5,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 20,CRGI,1,3.5,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,IN 40,CYOS,5,.,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 40,CYOS,3,.,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 20,CYOS,5,.,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 40,KEKE,1,3,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,IN 20,MECR,9,10,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,IN 40 ,MECR,6,10,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 40,MECR,3,12,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 20,MECR,9,11,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,IN 20,PAIN,3,6.5,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,IN 40,PAIN,4,6.5,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 40 ,PAIN,3,6.7,1930,,RZ,TW/IG
2018,9,9/14/2018,MESA,3,OFF 20,PAIN,2,6.8,1930,,RZ,TW/IG
2018,9,9/13/2018,OAKS,1,IN 20,AML,12,5,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,IN 40,AML,15,7,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,OFF 40,AML,26,7,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,OFF 20,AML,8,10,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,IN 20,CYOS,23,.,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,IN 40,CYOS,30,.,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,OFF 40,CYOS,23,.,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,OFF 20,CYOS,29,.,1930,,IG,TW/IG
2018,9,9/13/2018,OAKS,1,IN 20,KEKE,1,5,1930,,IG,TW/IG
